"","id","owner","datetaken","ownername","latitude","longitude","url_c","Clusters_0.0005_5","GND_N","PROVINCE_N","DISTRICT_N","date","time"
"47035",39354560442,"144303366@N08","2017-09-11 12:31:22","sunmaya1",9.2496,80.1402,"https://live.staticflickr.com/4641/39354560442_f25e375482_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2017-09-11","12:31:22"
"63880",44396823800,"36856587@N00","2018-11-19 15:40:46","cotaro70s",9.4371,80.4075,"https://live.staticflickr.com/4864/44396823800_e05d969a2f_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2018-11-19","15:40:46"
"68045",12169561313,"65313728@N04","2014-01-22 10:51:03","Hushaard",9.5019,80.4062,"https://live.staticflickr.com/3738/12169561313_587f8eab3c_c.jpg",1,"Urithirapuram East","NORTHERN","KILINOCHCHI","2014-01-22","10:51:03"
"68046",12169940326,"65313728@N04","2014-01-22 10:50:48","Hushaard",9.502,80.4062,"https://live.staticflickr.com/3668/12169940326_1c8caee572_c.jpg",1,"Urithirapuram East","NORTHERN","KILINOCHCHI","2014-01-22","10:50:48"
"68047",12169682134,"65313728@N04","2014-01-22 10:49:55","Hushaard",9.5017,80.4062,"https://live.staticflickr.com/7352/12169682134_ac5e7dd51f_c.jpg",1,"Urithirapuram East","NORTHERN","KILINOCHCHI","2014-01-22","10:49:55"
"70568",43515406310,"79721788@N00","2018-04-08 09:48:04","D-Stanley",9.5022,80.4061,"https://live.staticflickr.com/1956/43515406310_9f8b71d811_c.jpg",1,"Urithirapuram East","NORTHERN","KILINOCHCHI","2018-04-08","09:48:04"
"70569",31451618868,"79721788@N00","2018-04-08 09:16:28","D-Stanley",9.5237,80.4065,"https://live.staticflickr.com/1944/31451618868_5d189735a7_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2018-04-08","09:16:28"
"75850",22675474999,"133218982@N05","2013-12-14 10:53:02","GNDR",9.3795,80.3735,"https://live.staticflickr.com/5761/22675474999_21519b366f_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2013-12-14","10:53:02"
"92945",16493838028,"13935845@N00","2015-03-01 14:06:08","ChihPing",9.3872,80.2273,"https://live.staticflickr.com/8672/16493838028_27ecaf3cf7_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2015-03-01","14:06:08"
"92990",16472846960,"13935845@N00","2015-02-27 14:47:58","ChihPing",9.3425,80.4091,NA,0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2015-02-27","14:47:58"
